t,222Rn,218Po,214Bi,214Pb,214Po,210Pb,
(s),(bq),(bq),(bq),(bq),(bq),(bq)
0.0,1000.7,0.0,0.0,0.0,0.0,0.0,
50505.1,899.5,900.0,904.4,907.7,907.7,0.0,
101010.1,808.5,809.0,813.0,815.9,815.9,0.0,
151515.2,726.8,727.2,730.7,733.4,733.4,0.0,
202020.2,653.2,653.6,656.8,659.2,659.2,0.0,
252525.3,587.2,587.5,590.4,592.5,592.5,0.0,
303030.3,527.8,528.1,530.7,532.6,532.6,0.0,
353535.4,474.4,474.7,477.0,478.8,478.8,0.0,
404040.4,426.4,426.7,428.8,430.3,430.3,0.0,
454545.5,383.3,383.5,385.4,386.8,386.8,0.0,
505050.5,344.5,344.7,346.4,347.7,347.7,0.0,
555555.6,309.7,309.9,311.4,312.5,312.5,0.0,
606060.6,278.4,278.5,279.9,280.9,280.9,0.0,
656565.7,250.2,250.4,251.6,252.5,252.5,0.0,
707070.7,224.9,225.0,226.1,227.0,227.0,0.0,
757575.8,202.2,202.3,203.3,204.0,204.0,0.0,
808080.8,181.7,181.8,182.7,183.4,183.4,0.0,
858585.9,163.3,163.4,164.2,164.8,164.8,0.0,
909090.9,146.8,146.9,147.6,148.2,148.2,0.0,
959596.0,132.0,132.0,132.7,133.2,133.2,0.0,
1010101.0,118.6,118.7,119.3,119.7,119.7,0.0,
1060606.1,106.6,106.7,107.2,107.6,107.6,0.0,
1111111.1,95.8,95.9,96.4,96.7,96.7,0.0,
1161616.2,86.1,86.2,86.6,86.9,86.9,0.0,
1212121.2,77.4,77.5,77.9,78.1,78.1,0.0,
1262626.3,69.6,69.6,70.0,70.2,70.2,0.0,
1313131.3,62.6,62.6,62.9,63.1,63.1,0.0,
1363636.4,56.2,56.3,56.5,56.8,56.8,0.0,
1414141.4,50.5,50.6,50.8,51.0,51.0,0.0,
1464646.5,45.4,45.5,45.7,45.9,45.9,0.0,
1515151.5,40.8,40.9,41.1,41.2,41.2,0.0,
1565656.6,36.7,36.7,36.9,37.0,37.0,0.0,
1616161.6,33.0,33.0,33.2,33.3,33.3,0.0,
1666666.7,29.7,29.7,29.8,29.9,29.9,0.0,
1717171.7,26.7,26.7,26.8,26.9,26.9,0.0,
1767676.8,24.0,24.0,24.1,24.2,24.2,0.0,
1818181.8,21.5,21.6,21.7,21.7,21.7,0.0,
1868686.9,19.4,19.4,19.5,19.5,19.5,0.0,
1919191.9,17.4,17.4,17.5,17.6,17.6,0.0,
1969697.0,15.6,15.7,15.7,15.8,15.8,0.0,
2020202.0,14.1,14.1,14.1,14.2,14.2,0.0,
2070707.1,12.6,12.6,12.7,12.8,12.8,0.0,
2121212.1,11.4,11.4,11.4,11.5,11.5,0.0,
2171717.2,10.2,10.2,10.3,10.3,10.3,0.0,
2222222.2,9.2,9.2,9.2,9.3,9.3,0.0,
2272727.3,8.3,8.3,8.3,8.3,8.3,0.0,
2323232.3,7.4,7.4,7.5,7.5,7.5,0.0,
2373737.4,6.7,6.7,6.7,6.7,6.7,0.0,
2424242.4,6.0,6.0,6.0,6.0,6.0,0.0,
2474747.5,5.4,5.4,5.4,5.4,5.4,0.0,
2525252.5,4.8,4.8,4.9,4.9,4.9,0.0,
2575757.6,4.4,4.4,4.4,4.4,4.4,0.0,
2626262.6,3.9,3.9,3.9,3.9,3.9,0.0,
2676767.7,3.5,3.5,3.5,3.5,3.5,0.0,
2727272.7,3.2,3.2,3.2,3.2,3.2,0.0,
2777777.8,2.8,2.8,2.9,2.9,2.9,0.0,
2828282.8,2.6,2.6,2.6,2.6,2.6,0.0,
2878787.9,2.3,2.3,2.3,2.3,2.3,0.0,
2929292.9,2.1,2.1,2.1,2.1,2.1,0.0,
2979798.0,1.9,1.9,1.9,1.9,1.9,0.0,
3030303.0,1.7,1.7,1.7,1.7,1.7,0.0,
3080808.1,1.5,1.5,1.5,1.5,1.5,0.0,
3131313.1,1.3,1.3,1.4,1.4,1.4,0.0,
3181818.2,1.2,1.2,1.2,1.2,1.2,0.0,
3232323.2,1.1,1.1,1.1,1.1,1.1,0.0,
3282828.3,1.0,1.0,1.0,1.0,1.0,0.0,
3333333.3,0.9,0.9,0.9,0.9,0.9,0.0,
3383838.4,0.8,0.8,0.8,0.8,0.8,0.0,
3434343.4,0.7,0.7,0.7,0.7,0.7,0.0,
3484848.5,0.6,0.6,0.6,0.6,0.6,0.0,
3535353.5,0.6,0.6,0.6,0.6,0.6,0.0,
3585858.6,0.5,0.5,0.5,0.5,0.5,0.0,
3636363.6,0.5,0.5,0.5,0.5,0.5,0.0,
3686868.7,0.4,0.4,0.4,0.4,0.4,0.0,
3737373.7,0.4,0.4,0.4,0.4,0.4,0.0,
3787878.8,0.3,0.3,0.3,0.3,0.3,0.0,
3838383.8,0.3,0.3,0.3,0.3,0.3,0.0,
3888888.9,0.3,0.3,0.3,0.3,0.3,0.0,
3939393.9,0.2,0.2,0.2,0.2,0.2,0.0,
3989899.0,0.2,0.2,0.2,0.2,0.2,0.0,
4040404.0,0.2,0.2,0.2,0.2,0.2,0.0,
4090909.1,0.2,0.2,0.2,0.2,0.2,0.0,
4141414.1,0.2,0.2,0.2,0.2,0.2,0.0,
4191919.2,0.1,0.1,0.1,0.1,0.1,0.0,
4242424.2,0.1,0.1,0.1,0.1,0.1,0.0,
4292929.3,0.1,0.1,0.1,0.1,0.1,0.0,
4343434.3,0.1,0.1,0.1,0.1,0.1,0.0,
4393939.4,0.1,0.1,0.1,0.1,0.1,0.0,
4444444.4,0.1,0.1,0.1,0.1,0.1,0.0,
4494949.5,0.1,0.1,0.1,0.1,0.1,0.0,
4545454.5,0.1,0.1,0.1,0.1,0.1,0.0,
4595959.6,0.1,0.1,0.1,0.1,0.1,0.0,
4646464.6,0.1,0.1,0.1,0.1,0.1,0.0,
4696969.7,0.0,0.0,0.0,0.0,0.0,0.0,
4747474.7,0.0,0.0,0.0,0.0,0.0,0.0,
4797979.8,0.0,0.0,0.0,0.0,0.0,0.0,
4848484.8,0.0,0.0,0.0,0.0,0.0,0.0,
4898989.9,0.0,0.0,0.0,0.0,0.0,0.0,
4949494.9,0.0,0.0,0.0,0.0,0.0,0.0,
5000000.0,0.0,0.0,0.0,0.0,0.0,0.0,
